SRK_pok,pokemon_name,type_1,type_2,height,weight,hit_points,attack,defense,total_stats,capture_rate,generation,base_happiness,base_experience,exp_type,evolves_from,mega_evolution,alolan_form,galarian_form,forms_switchable,legendary,mythical,genderless,female_rate,egg_cycles,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
1,Bulbasaur,Grass,Poison,0.7,6.9,45,49,49,318,45,1,70,64,Medium Slow, ,False,False,False,False,False,False,False,0.125,20,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2,Ivysaur,Grass,Poison,1.0,13.0,60,62,63,405,45,1,70,142,Medium Slow,Bulbasaur,False,False,False,False,False,False,False,0.125,20,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
3,Mega Venusaur,Grass,Poison,2.4,155.5,80,100,123,625,45,6,70,281,Medium Slow,Ivysaur,True,False,False,True,False,False,False,0.125,20,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
4,Charmander,Fire, ,0.6,8.5,39,52,43,309,45,1,70,62,Medium Slow, ,False,False,False,False,False,False,False,0.125,20,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
5,Charmeleon,Fire, ,1.1,19.0,58,64,58,405,45,1,70,142,Medium Slow,Charmander,False,False,False,False,False,False,False,0.125,20,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
6,Charizard,Fire,Flying,1.7,90.5,78,84,78,534,45,1,70,240,Medium Slow,Charmeleon,False,False,False,True,False,False,False,0.125,20,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5
7,Squirtle,Water, ,0.5,9.0,44,48,65,314,45,1,70,63,Medium Slow, ,False,False,False,False,False,False,False,0.125,20,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
8,Wartortle,Water, ,1.0,22.5,59,63,80,405,45,1,70,142,Medium Slow,Squirtle,False,False,False,False,False,False,False,0.125,20,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
9,Blastoise,Water, ,1.6,85.5,79,83,100,530,45,1,70,239,Medium Slow,Wartortle,False,False,False,True,False,False,False,0.125,20,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
10,Caterpie,Bug, ,0.3,2.9,45,30,35,195,255,1,70,39,Medium Fast, ,False,False,False,False,False,False,False,0.5,15,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
11,Metapod,Bug, ,0.7,9.9,50,20,55,205,120,1,70,72,Medium Fast,Caterpie,False,False,False,False,False,False,False,0.5,15,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
12,Butterfree,Bug,Flying,1.1,32.0,60,45,50,395,45,1,70,178,Medium Fast,Metapod,False,False,False,False,False,False,False,0.5,15,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
13,Weedle,Bug,Poison,0.3,3.2,40,35,30,195,255,1,70,39,Medium Fast, ,False,False,False,False,False,False,False,0.5,15,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
