pokedex_number,pokemon_name,type_1,type_2,shape,height,weight,bmi,hit_points,attack,defense,special_attack,special_defense,speed,total_stats,mean,standard_deviation,capture_rate,generation,base_happiness,base_experience,exp_type,exp_to_level_100,can_evolve,evolves_from,final_evolution,mega_evolution,is_default,baby_pokemon,alolan_form,galarian_form,forms_switchable,legendary,mythical,genderless,female_rate,genus,egg_group_1,egg_group_2,egg_cycles,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
1,Bulbasaur,Grass,Poison,Quadruped,0.7,6.9,14.1,45,49,49,65,65,45,318,53.0,8.64,45,1,70,64,Medium Slow,1059860,True,,False,False,True,False,False,False,False,False,False,False,0.125,Seed ,Monster,Grass,20,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2,Ivysaur,Grass,Poison,Quadruped,1.0,13.0,13.0,60,62,63,80,80,60,405,67.5,8.9,45,1,70,142,Medium Slow,1059860,True,Bulbasaur,False,False,True,False,False,False,False,False,False,False,0.125,Seed ,Monster,Grass,20,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
3,Mega Venusaur,Grass,Poison,Quadruped,2.4,155.5,27.0,80,100,123,122,120,80,625,104.17,18.75,45,6,70,281,Medium Slow,1059860,False,Ivysaur,True,True,False,False,False,False,True,False,False,False,0.125,Seed ,Monster,Grass,20,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
3,Venusaur,Grass,Poison,Quadruped,2.0,100.0,25.0,80,82,83,100,100,80,525,87.5,8.9,45,1,70,236,Medium Slow,1059860,False,Ivysaur,True,False,True,False,False,False,True,False,False,False,0.125,Seed ,Monster,Grass,20,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
3,Venusaur Gmax,Grass,Poison,Quadruped,24.0,10000.0,17.4,80,82,83,100,100,80,525,87.5,8.9,45,8,70,236,Medium Slow,1059860,False,Ivysaur,False,False,False,False,False,False,True,False,False,False,0.125,Seed ,Monster,Grass,20,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
4,Charmander,Fire,,Upright,0.6,8.5,23.6,39,52,43,60,50,65,309,51.5,9.0,45,1,70,62,Medium Slow,1059860,True,,False,False,True,False,False,False,False,False,False,False,0.125,Lizard ,Monster,Dragon,20,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
5,Charmeleon,Fire,,Upright,1.1,19.0,15.7,58,64,58,80,65,80,405,67.5,9.23,45,1,70,142,Medium Slow,1059860,True,Charmander,False,False,True,False,False,False,False,False,False,False,0.125,Flame ,Monster,Dragon,20,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
6,Charizard,Fire,Flying,Upright,1.7,90.5,31.3,78,84,78,109,85,100,534,89.0,11.58,45,1,70,240,Medium Slow,1059860,False,Charmeleon,True,False,True,False,False,False,True,False,False,False,0.125,Flame ,Monster,Dragon,20,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5
6,Charizard Gmax,Fire,Flying,Upright,28.0,10000.0,12.8,78,84,78,109,85,100,534,89.0,11.58,45,8,70,240,Medium Slow,1059860,False,Charmeleon,False,False,False,False,False,False,True,False,False,False,0.125,Flame ,Monster,Dragon,20,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5
6,Mega Charizard X,Fire,Dragon,Upright,1.7,110.5,38.2,78,130,111,130,85,100,634,105.67,20.15,45,6,70,285,Medium Slow,1059860,False,Charmeleon,True,True,False,False,False,False,True,False,False,False,0.125,Flame ,Monster,Dragon,20,1.0,0.25,1.0,0.5,0.25,1.0,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,0.5,1.0
6,Mega Charizard Y,Fire,Flying,Upright,1.7,100.5,34.8,78,104,78,159,115,100,634,105.67,27.38,45,6,70,285,Medium Slow,1059860,False,Charmeleon,True,True,False,False,False,False,True,False,False,False,0.125,Flame ,Monster,Dragon,20,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5
7,Squirtle,Water,,Upright,0.5,9.0,36.0,44,48,65,50,64,43,314,52.33,8.92,45,1,70,63,Medium Slow,1059860,True,,False,False,True,False,False,False,False,False,False,False,0.125,Tiny Turtle ,Monster,Water 1,20,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
8,Wartortle,Water,,Upright,1.0,22.5,22.5,59,63,80,65,80,58,405,67.5,9.14,45,1,70,142,Medium Slow,1059860,True,Squirtle,False,False,True,False,False,False,False,False,False,False,0.125,Turtle ,Monster,Water 1,20,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
9,Blastoise,Water,,Upright,1.6,85.5,33.4,79,83,100,85,105,78,530,88.33,10.39,45,1,70,239,Medium Slow,1059860,False,Wartortle,True,False,True,False,False,False,True,False,False,False,0.125,Shellfish ,Monster,Water 1,20,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
9,Blastoise Gmax,Water,,Upright,25.0,10000.0,16.0,79,83,100,85,105,78,530,88.33,10.39,45,8,70,239,Medium Slow,1059860,False,Wartortle,False,False,False,False,False,False,True,False,False,False,0.125,Shellfish ,Monster,Water 1,20,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
9,Mega Blastoise,Water,,Upright,1.6,101.1,39.5,79,103,120,135,115,78,630,105.0,20.95,45,6,70,284,Medium Slow,1059860,False,Wartortle,True,True,False,False,False,False,True,False,False,False,0.125,Shellfish ,Monster,Water 1,20,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
10,Caterpie,Bug,,Armor,0.3,2.9,32.2,45,30,35,20,20,45,195,32.5,10.31,255,1,70,39,Medium Fast,1000000,True,,False,False,True,False,False,False,False,False,False,False,0.5,Worm ,Bug,,15,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
11,Metapod,Bug,,Squiggle,0.7,9.9,20.2,50,20,55,25,25,30,205,34.17,13.36,120,1,70,72,Medium Fast,1000000,True,Caterpie,False,False,True,False,False,False,False,False,False,False,0.5,Cocoon ,Bug,,15,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
12,Butterfree,Bug,Flying,Bug-Wings,1.1,32.0,26.4,60,45,50,90,80,70,395,65.83,15.92,45,1,70,178,Medium Fast,1000000,False,Metapod,True,False,True,False,False,False,False,False,False,False,0.5,Butterfly ,Bug,,15,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
12,Butterfree Gmax,Bug,Flying,Bug-Wings,17.0,10000.0,34.6,60,45,50,90,80,70,395,65.83,15.92,45,8,70,178,Medium Fast,1000000,False,Metapod,False,False,False,False,False,False,False,False,False,False,0.5,Butterfly ,Bug,,15,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0
13,Weedle,Bug,Poison,Armor,0.3,3.2,35.6,40,35,30,20,20,50,195,32.5,10.7,255,1,70,39,Medium Fast,1000000,True,,False,False,True,False,False,False,False,False,False,False,0.5,Hairy Bug ,Bug,,15,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
14,Kakuna,Bug,Poison,Squiggle,0.6,10.0,27.8,45,25,50,25,25,35,205,34.17,10.17,120,1,70,72,Medium Fast,1000000,True,Weedle,False,False,True,False,False,False,False,False,False,False,0.5,Cocoon ,Bug,,15,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
15,Beedrill,Bug,Poison,Bug-Wings,1.0,29.5,29.5,65,90,40,45,80,75,395,65.83,18.12,45,1,70,178,Medium Fast,1000000,False,Kakuna,True,False,True,False,False,False,True,False,False,False,0.5,Poison Bee ,Bug,,15,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
15,Mega Beedrill,Bug,Poison,Bug-Wings,1.4,40.5,20.7,65,150,40,15,80,145,495,82.5,50.23,45,6,70,223,Medium Fast,1000000,False,Kakuna,True,True,False,False,False,False,True,False,False,False,0.5,Poison Bee ,Bug,,15,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
16,Pidgey,Normal,Flying,Wings,0.3,1.8,20.0,40,45,40,35,35,56,251,41.83,7.2,255,1,70,50,Medium Slow,1059860,True,,False,False,True,False,False,False,False,False,False,False,0.5,Tiny Bird ,Flying,,15,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0
